code,name,nameTH,category,categoryTH,type,typeTH,credits,description,descriptionTH,prerequisite,remake,remarkTH
CSX 4201,Artificial Intelligence Concepts,ปัญญาประดิษฐ์,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Fundamental concepts in AI and its purpose as well as different disciplines in the field, mathematical
theorem proving, natural language processing, image processing, robotics, expert system and various
techniques used in knowledge representation, searching, induction and heuristic algorithms, case studies
related to specific AI applications including expert system, language translation, voice processing, and
others, use of popular programming languages such as Prolog and LISP to solve AI related problems.","แนวความคิดเบื􀃊องต้นและวัตถุประสงค์ของปัญญาประดิษฐ์ สาขาต่างๆของปัญญาประดิษฐ์ ปัญหาพืน􀃊 ฐานของ
ปัญญาประดิษฐ์ การพิสูจน์ทฤษฎีทางคณิตศาสตร์ การเข้าใจภาษามนุษย์ การประมวลผลภาพ การควบคุม
หุ่นยนต์ ระบบผู้ชำนาญการ และเทคนิคทีใ􀃉 ช้ปัญญาประดิษฐ์ การแทนความรู้ การค้นหา การอนุมาน และการใช้
วิธีที􀃉ค้นหาหลายคำตอบและเลือกคำตอบที􀃉ดีทีสุด (Heuristic) กรณีศึกษาการประยุกต์ใช้ปัญญาประดิษฐ์กับ
ปัญหาบางประเภท เช่น ระบบผู้ชำนาญการ การแปลภาษา การประมวลผลเสียง เป็นต้น การใช้โปรแกรมภาษา
ทีน􀃉 ิยมใช้ในปัญญาประดิษฐ์ เช่น โปรล๊อค หรือ ลิสต์ เพือ􀃉 แก้ปัญหาทางปัญญาประดิษฐ์",CSX 3002,,
CSX 4202,Data Mining,การทำเหมืองข้อมูล,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Fundamental concepts of data mining, widely used techniques/algorithms and tools, preprocessing,
exploratory data analysis, classification, clustering, association analysis and region discovery.","แนวความคิดพื􀃊นฐานของการทำเหมืองข้อมูล เทคนิค/อัลกอริทึมต่างๆ ที􀃉ใช้กันอย่างแพร่หลายและเครื􀃉องมือ
กระบวนการเตรียมการ การวิเคราะห์สืบค้นข้อมูล การจัดหมวดหมู่ การจัดกลุ่ม การวิเคราะห์ความสัมพันธ์ และ
การค้นพบในภาคส่วน",CSX 3002,,
CSX 4203,Machine Learning,การเรียนรู้ของเครื􀃉อง,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Construction of computer programs that will automatically improve their performance through experience,
primary approaches to machine learning, including inductive inference of decision trees, case-based
learning, neural network learning, statistical learning methods, and Bayesian learning.","การสร้างโปรแกรมคอมพิวเตอร์ซึง􀃉 สามารถพัฒนาสมรรถภาพหลังจากผ่านประสบการณ์ต่างๆ ความรู้เบือ􀃊 งต้นของ
การเรียนรู้ต่างๆของเครื􀃉องรวมถึง การอนุมานเชิงอุปนัยของต้นไม้การตัดสินใจ การอนุมาณตามกรณี ข่ายงาน
ประสาทเทียม วิธีทางสถิติ และ แบบเบย์",CSX 3002,,
CSX 4204,Biometrics,ไบโอเมตริคส์,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Introduction to biometrics, physiological biometrics, fingerprint biometrics, face biometrics, iris biometrics,
hand geometry, palmprint, behavioural biometrics, gait biometrics, gesture biometrics, voice biometrics,
signature recognition, multimodal biometrics, biometric system security, biometric standards, BioAPI
specifications.","ความรู้เบื􀃊องต้นเกี􀃉ยวกับไบโอเมตริคส์ ไบโอเมตริคส์เชิงสรีระ ลายนิ􀃊วมือ ใบหน้า ม่านตา รูปทรงมือ ลายมือ เสียง
ไบโอเมตริคส์เชิงพฤติกรรม ท่าเดิน อิริยาบถ เสียง ลายมือชื􀃉อ การรวมไบโอเมตริคส์ การรักษาความปลอดภัย
ของระบบไบโอเมตริคส์ มาตรฐานไบโอเมตริคส์ มาตรฐานการเชื􀃉อมต่อ BioAPI",CSX 3002,,
CSX 4205,Big Data Analytics,การวิเคราะห์ข้อมูลขนาดใหญ่,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Foundational techniques and tools required for big data analytics, deployment of structured approach to
big data analytics projects, visualization techniques and tools to analyze big data and create statistical
models, usage of tools such as Hadoop, MapReduce, Spark, and Graph.","กลวิธีและเครื􀃉องมือขัน􀃊 พืน􀃊 ฐานสำหรับการวิเคราะห์ข้อมูลขนาดใหญ่ การปรับเปลีย􀃉 นกลยุทธจากโครงสร้างเดิมสู่
โครงงานที􀃉เป็นการวิเคราะห์ข้อมูลขนาดใหญ่ กลวิธีการนำเสนอและเครื􀃉องมือในการวิเคราะห์ข้อมูลขนาดใหญ่
ด้วยการสร้างโมเดลทางสถิติ การใช้งานเครื􀃉องมือเช่น Hadoop MapReduce Spark และกราฟ",CSX 2006,,
CSX 4206,Data Warehousing and Business Intelligence,คลังข้อมูลและระบบธุรกิจอัจฉริยะ,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Fundamental and evolution of data warehouse concepts including data warehouse architecture,
development methodology, data modeling, data conversion, OLAP, ETL processes, data access,
business intelligence applications.","แนวความคิดพืน􀃊 ฐาน และวิวัฒนาการของคลังข้อมูล ซึ􀃉งประกอบด้วย สถาปัตยกรรมคลังข้อมูล ระเบียบวิธีการ
พัฒนา กาออกแบบข้อมูล การแปลงข้อมูล ฐานข้อมูล OLAP กระบวนการในการทำ ETL การเข้าถึงข้อมูล
โปรแกรมประยุกต์ระบบธุรกิจอัจฉริยะ",CSX 2006,,
CSX 4207,Decision Support and Recommender Systems,ระบบสนับสนุนการตัดสินใจและการให้คำแนะนำ,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Recommender systems concepts, classical techniques for building recommender systems such as
collaborative based, content-based, knowledge-based and hybrid recommendation approaches,
techniques and approaches used to evaluate the quality of the recommendations, guidelines on matching
recommendation technologies and domains, recent developments and applications of recommender
systems.","แนวคิดของระบบการให้คำแนะนำ เทคนิคคลาสสิกในการสร้างระบบให้คำแนะนำ เช่น แบบตามการทำงาน
ร่วมกัน แบบตามเนื􀃊อหา แบบตามความรู้ และวิธีการให้คำแนะนำแบบผสมผสาน เทคนิคและรูปแบบในการ
ประเมินคุณภาพของคำแนะนำ ข้อแนะนำในการเลือกเทคโนโลยีการให้คำแนะนำและขอบเขต พัฒนาการและ
โปรแกรมประยุกต์ของระบบการให้คำแนะนำในปัจจุบัน",CSX 2006,,
CSX 4208,Deep Learning,การเรียนรู้เชิงลึก,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Introduction to deep learning concepts and techniques including perceptron, artificial neural networks,
activation function, learning techniques, backpropagation, problem of traditional neural network;
vanishing/exploding gradient, regularization, preprocessing, deep feedforward networks, convolutional
networks, recurrent neural networks, and their applications.","หลักการเบื􀃊องต้นของการเรียนรู้เชิงลึกและเทคนิคต่างๆ ซึ􀃉งประกอบด้วย เพอร์เซปตรอน โคร่งข่ายประสาท
เทียม ฟังก์ชัน􀃉 ทีใ􀃉 ช้ในการกระตุ้น เทคนิคการเรียนรู้ การปรับค่านํ􀃊าหนักตัวแปรแบบย้อนกลับ ปัญหาดัง􀃊 เดิมของ
โคร่งข่ายประสาทเทียม เช่น การหายไป/การเกิดของเกรเดียนต์ เรกูลาไรเซชัน􀃉 การจัดการกับข้อมูลก่อนส่งเข้า
โครงข่าย รวมถึงประเภทของโคร่งข่ายประสาทเทียมเชิงลึกแบบ",CSX 4203,,
CSX 4209,Intelligent System Development,การพัฒนาระบบอัจฉริยะ,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Foundations of intelligent systems, intelligent agents, problem-solving by searching, stochastic searches,
learning, genetic algorithms, and neural-networks.","พืน􀃊 ฐานของระบบอัจฉริยะ ตัวแทนอัจฉริยะ การแก้ปัญหาด้วยการสืบค้น การค้นหาแบบสโทแคสติก การเรียนรู้
ขัน􀃊 ตอนวิธีพันธุกรรม โครงข่ายประสาทเทียม",CSX 3002,,
CSX 4210,Natural Language Processing and Social Interactions,การประมวลผลภาษาธรรมชาติและปฏิสัมพันธ์ทางสังคม,Major Elective Courses,วิชาเอกเลือก,Group 1(B) Informatics and Data Science,วิชาเอกเลือกกลุ่ม 1(B) Informatics and Data Science,3 (3-0-6),"Human language from a computational perspective, syntactic analysis, semantic interpretation, and
discourse processing (both symbolic and statistical approaches), information extraction, natural language
generation, and applications of NLP in social interactions.","ภาษาของมนุษย์จากมุมมองของการคำณวน การวิเคราะห์การสร้างประโยค การแปลความหมาย การวิเคราะห์
ภาษาระดับข้อความทัง􀃊 ในรูปแบบสัญลักษณ์และวิธีการทางสถิติ การแยกสารสนเทศ การสร้างภาษาธรรมชาติ
และแอพพลิเคชัน􀃉 ของการประมวลผลภาษาธรรมชาติในการปฏิสัมพันธ์ทางสังคม",CSX 3002,,
CSX 4301,Network Design,การออกแบบเครือข่าย,Major Elective Courses,วิชาเอกเลือก,Group 1(C) Network Technology and Infrastructure,วิชาเอกเลือกกลุ่ม 1(C) Network Technology and Infrastructure,3 (3-0-6),"Network topology and design methodology, hierarchical network design approach, campus and data
center networks design, enterprise network design, software-defined networking, software-defined
access, multiservice/multitenant technologies.","ทางการออกแบบระบบเครือข่ายแบบลำดับชัน􀃊 การออกแบบเครือข่ายระดับแคมปัสและศูนย์ข้อมูลหลัก การ
ออกแบบเครือข่ายระดับองค์กร ระบบเครือข่ายแบบซอฟต์แวร์ดีไฟน์ การเข้าใช้งานระบบเครือข่ายแบบ
ซอฟต์แวร์ดีไฟน์ เทคโนโลยีเครือข่ายสำหรับผู้ใช้งานหลายรายและบริการหลายรูปแบบ",CSX 3005 or by the consent of the instructor,,
CSX 4302,Cisco Networking Workshop,ระบบเครือข่ายซิสโก้เชิงปฏิบัติการ,Major Elective Courses,วิชาเอกเลือก,Group 1(C) Network Technology and Infrastructure,วิชาเอกเลือกกลุ่ม 1(C) Network Technology and Infrastructure,3 (3-0-6),"Models of the Internet and computer networks, IP addressing, Ethernet concepts, media, and operations,
operations of routers and switches in a small network, simple LANs implementation, basic network
configurations for routers and switches.","รูปแบบของอินเทอร์เน็ตและเครือข่ายคอมพิวเตอร์ หมายเลขไอพี แนวคิดของเครือข่ายอีเทอร์เน็ต สายสัญญาณ
และการปฏิบัติการ การทำงานของอุปกรณ์ค้นหาเส้นทางและอุปกรณ์สลับสัญญาณในระบบเครือข่ายขนาดเล็ก
การจัดทำระบบเครือข่ายท้องถิ􀃉นอย่างง่าย การกำหนดค่าระบบเบื􀃊องต้นสำหรับอุปกรณ์ค้นหาเส้นทางและ
อุปกรณ์สลับสัญญาณ",,,
CSX 4303,Network Security,ความมัน􀃉 คงปลอดภัยของเครือข่าย,Major Elective Courses,วิชาเอกเลือก,Group 1(C) Network Technology and Infrastructure,วิชาเอกเลือกกลุ่ม 1(C) Network Technology and Infrastructure,3 (3-0-6),"Network security principles, threats and vulnerabilities, security threats mitigation and countermeasures,
network security protocols, technologies and tools/appliances, networks intrusion detection and forensics
technologies, cryptographic and authentication systems, capability and access control mechanisms,
current trends and research in security policies and technologies.","หลักการของความมัน􀃉 คงปลอดภัยระบบเครือข่าย ภัยคุกคามและช่องโหว่ การจัดการภัยคุกคาม โปรโตคอล
ความมัน􀃉 คงปลอดภัยของเครือข่าย เทคโนโลยีและเครื􀃉องมือด้านความมัน􀃉 คงปลอดภัยของเครือข่าย เทคโนโลยี
การตรวจจับการบุกรุกระบบเครือข่ายและนิติวิทยาศาสตร์ วิทยาการเข้ารหัสและระบบการรับรองตัวบุคคล
กลไกสำหรับการเข้าถึงและการจัดการความสามารถ แนวโน้มและการวิจัยที􀃉เป็นปัจจุบันสำหรับความมัน􀃉 คง
ปลอดภัย นโยบาย และเทคโนโลยีด้านความมัน􀃉 คงปลอดภัย",CSX 3005 or by the consent of the instructor,,
CSX 4304,Network Management,การจัดการเครือข่าย,Major Elective Courses,วิชาเอกเลือก,Group 1(C) Network Technology and Infrastructure,วิชาเอกเลือกกลุ่ม 1(C) Network Technology and Infrastructure,3 (3-0-6),"Network management principles and protocols, five functional areas of network management: fault
management, configuration management, accounting management, performance management, and security management (FCAPS), security information and events management (SIEM), fault diagnosis
and isolation, performance monitoring, service level agreement (SLA).","หลักการและโปรโตคอลสำหรับการบริหารจัดการระบบเครือข่าย การทำงานทัง􀃊 ห้าด้านได้แก่ การบริหารจัดการ
ระบบเครือข่าย ข้อผิดพลาด การกำหนดค่าระบบ ด้านประสิทธิภาพ และความมัง􀃉 คงปลอดภัย (FCAPS) การ
บริหารจัดการความมัน􀃉 คงปลอดภัยข้อมูลและเหตุการณ์ (SIEM) การวิเคราะห์และแยกแยะข้อผิดพลาด การ
ตรวจสอบประสิทธิภาพ ข้อตกลงระดับการบริการ (SLA)",CSX 3005 or by the consent of the instructor,,
CSX 4305,Heterogeneous Wireless Networks,เครือข่ายไร้สายแบบผสม,Major Elective Courses,วิชาเอกเลือก,Group 1(C) Network Technology and Infrastructure,วิชาเอกเลือกกลุ่ม 1(C) Network Technology and Infrastructure,3 (3-0-6),"Integration of heterogeneous wireless technologies, architecture of heterogeneous wireless networks
(HWNs), radio resource and interference management, capacity and coverage enhancement, mobility
and resource management, location management and network selection mechanisms in HWNs.","การผสมผสานเทคโนโลยีไร้สายแบบผสม สถาปัตยกรรมของระบบเครือข่ายไร้สายแบบผสม การบริหารจัดการ
ทรัพยากรคลื􀃉นวิทยุและการรบกวน การเพิม􀃉 ความจุและการครอบคลุมของระบบ การบริหารจัดการทรัพยากร
และการเคลื􀃉อนที 􀃉 การบริหารจัดการตำแหน่งทีอ􀃉 ยู่และวิธีการในการเลือกเครือข่ายในระบบเครือข่ายไร้สายแบบ
ผสม",CSX 3005 or by the consent of the instructor,,
CSX 4306,Internet of Things,อินเทอร์เน็ตของสรรพสิ􀃉ง,Major Elective Courses,วิชาเอกเลือก,Group 1(C) Network Technology and Infrastructure,วิชาเอกเลือกกลุ่ม 1(C) Network Technology and Infrastructure,3 (3-0-6),"Introduction to Internet, Internet of Things, technological trends leading toward IoT, embedded system
and its interface, common hardware components of IoT devices, IoT devices’ software and hardware
interaction, IoT protocols, IoT and cloud service/computing.","อินเทอร์เน็ตเบื􀃊องต้น อินเทอร์เน็ตของสรรพสิง􀃉 แนวโน้มเทคโนโลยีที􀃉นำไปสู่อินเทอร์เน็ตของสรรพสิง􀃉 ระบบฝัง
ตัวและอินเทอร์เฟซ ส่วนประกอบฮาร์ดแวร์หลักของอุปกรณ์ของอินเทอร์เน็ตของสรรพสิ􀃉ง การปฏิสัมพันธ์
ระหว่างซอฟต์แวร์และฮาร์ดแวร์สำหรับอุปกรณ์ของอินเทอร์เน็ตของสรรพสิ􀃉ง โพรโตคอลของอินเทอร์เน็ตของ
สรรพสิง􀃉 อินเทอร์เน็ตของสรรพสิง􀃉 และการให้บริการ/การประมวลผลแบบคลาวด์",CSX 3005 or by the consent of the instructor,,
CSX 4307,Business Continuity Planning and Management,การวางแผนและบริหารความต่อเนื􀃉องของธุรกิจ,Major Elective Courses,วิชาเอกเลือก,Group 1(C) Network Technology and Infrastructure,วิชาเอกเลือกกลุ่ม 1(C) Network Technology and Infrastructure,3 (3-0-6),"Emergency preparedness techniques necessary to maintain business continuity, critical processes,
planning for business continuity, risk assessment, impact analysis, mitigation strategies, response,
recovery and continuation activities","เทคนิคในการเตรียมความพร้อมรองรับเหตุฉุกเฉินเพื􀃉อให้ธุรกิจสามารถทำงานได้ต่อเนื􀃉อง ขัน􀃊 ตอนต่างๆที􀃉เป็น
วิกฤต การวางแผนความต่อเนื􀃉องทางธุรกิจ การประเมินความเสีย􀃉 ง การวิเคราะผลกระทบ กลยุทธ์ในการจัดการ
กิจกรรมต่างๆ สำหรับการตอบสนอง การฟื􀃊นตัว และความต่อเนื􀃉อง",,,
CSX 4401,Business Systems,ระบบุรกิจ,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Business systems and their interrelationships including finance, accounting, sales, marketing, human
resources, law and operations, inputs and outputs of information systems, potential for integration of the
systems, and information systems security.","ระบบธุรกิจและความสัมพันธ์ของระบบต่างๆ ซึ􀃉งรวมถึงฝ่ายการเงิน การบัญชี การขาย การตลาด ทรัพยากร
บุคคล กฏหมายและการดำเนินการ การนำเข้าข้อมูลและผลผลิตทีไ􀃉 ด้จากระบบสารสนเทศต่างๆ ศักยภาพของ
การรวมระบบต่างๆ เข้าด้วยกัน และความมัง􀃉 คงปลอดภัยของระบบสารสนเทศ",CSX 2001,,
CSX 4402,Sales and Distribution Management System,ระบบจัดการการขายและกระจายสินค้า,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Introduction to Sales and Distribution Management System; fundamental processes in sales and
distribution; logistic modules covering from sales forecast, sales promotion, price list, sales order, order
management, inventory transactions related to sales, order delivery.","ระบบจัดการการขายและการกระจายสินค้าเบือ􀃊 งต้น พืน􀃊 ฐานการขายและการกระจายสินค้า ลอจิสติกโมดูล ได้แก่
การพยากรณ์ยอดขาย การส่งเสริมการขาย ราคาขายปลีกแนะนำ ใบสัง􀃉 ขาย การจัดการคำสัง􀃉 ซื􀃊อ รายการสินค้า
คงคลัง การส่งสินค้า",CSX 4401,,
CSX 4403,Manufacturing Management System,ระบบจัดการการผลิต,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Introduction to Manufacturing Management System, manufacturing processes, bill of materials (BOM),
routing and work center, manufacturing resource planning (MRP), capacity planning, production
scheduling, shop floor planning, work in process (WIP).","ระบบจัดการการผลิดเบื􀃊องต้น กระบวนการผลิต รายการวัตถุดิบ เส้นทางการผลิตและศูนย์ดำเนินงาน การ
วางแผนและบริหารทรัพยากรการผลิต การวางแผนกำลังการผลิต การกำหนดตารางการผลิต การบริหารพื􀃊นที􀃉
ผลิต งานระหว่างผลิต",CSX 4401,,
CSX 4404,Supply Chain Management System,ระบบจัดการโซ่อุปทาน,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Introduction to Supply Chain Management System, supply chain strategies, supply chain network design
principles, planning and managing inventories, procurement and sourcing, innovative supply chain
business models, supply chain performance.","ความรู้เบือ􀃊 งต้นเรื􀃉องการจัดการห่วงโซ่อุปทาน กลยุทธ์ห่วงโซ่อุปทาน หลักการออกแบบเครือข่ายห่วงโซ่อุปทาน
การวางแผนและการจัดการคลังสินค้า การจัดซือ􀃊 จัดจ้าง นวัตกรรมโมเดลธุรกิจด้านห่วงโซ่อุปทาน ประสิทธิภาพ
ของห่วงโซ่อุปทาน",CSX 4401,,
CSX 4405,Finance and Accounting Information Sys,ระบบสารสนเทศทางการเงินและการบัญชี,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Introduction to Finance and Accounting Information System, the application of Accounting Information
System (AIS) in businesses and organization, understanding of how AIS is used to record accounting transactions and how it facilitates business processes and transaction processing, hands-on experiences
using accounting software in designing and configuring an accounting information system for small-tomedium
sized businesses.","ความรู้เบือ􀃊 งต้นระบบสารสนเทศทางการเงินและการบัญชี การประยุกต์ใช้ระบบสารสนเทศทางการบัญชีในธุรกิจ
และองค์กร การเข้าใจในการใช้ระบบสารสนเทศทางบัญชีเพื􀃉อบันทึกรายการทางบัญชี และเพื􀃉ออานวยความ
สะดวกกระบวนการทางธุรกิจและประมวลผลธุรกรรม การใช้ซอฟต์แวร์ทางบัญชีในการออกแบบและตัง􀃊 ค่าระบบ
สารสนเทศทางบัญขีสาหรับธุรกิจขนาดเล็กถึงกลาง","CSX 4401, ACT 1601",,
CSX 4406,Customer Relationship Management System,ระบบจัดการลูกค้าสัมพันธ์,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Introduction to Customer Relationship Management System, customer lifecycle management, customer
lifetime value, processes and technologies for managing the relationships with potential and current
customers and business partners, analytics in CRM, CRM data warehouse, CRM tools.","ความรู้เบื􀃊องต้นระบบจัดการลูกค้าสัมพันธ์ การจัดการวงจรชีวิตลูกค้า คุณค่าของลูกค้าตลอดช่วงทีอ􀃉 ยู่กับบริษัท
กระบวนการและเทคโนโลยีสาหรับจัดการความสัมพันธ์กับลูกค้าปัจจุบันและพันธมิตรทางธุรกิจ การวิเคราะห์
ข้อมูลด้านลูกค้าสัมพันธ์ คลังข้อมูลลูกค้าสัมพันธ์ เครื􀃉องมือต่างๆในการจัดการลูกค้าสัมพันธ์",CSX 4401,,
CSX 4407,Enterprise Application Development,การพัฒนาโปรแกรมประยุกต์ขององค์กร,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Architecture and platform of choice for building and deploying n-tier, web-based, transactional, and
component-based enterprise applications, high-level overview of enterprise application architecture,
individual programming API’s and technologies that constitute at web tier and business tier, security,
persistence, transaction.","ตัวเลือกของสถาปัตยกรรมและแพลทฟอร์มในการสร้างและติดตัง􀃊 โปรแกรมสำหรับทัว􀃉 ทัง􀃊 องค์กร แบบ n-tier
แบบเว็บ แบบเกีย􀃉 วการดำเนินการ (transactional) และ แบบองค์ประกอบ สถาปัตยกรรมชัน􀃊 สูงของระบบสำหรับ ทัว􀃉 ทัง􀃊 องค์กร ส่วนต่อประสานของโปรแกรมประยุกต์ และเทคโนโลยีในการสร้างโครงสร้างชัน􀃊 เว็บและโครงสร้าง
ชัน􀃊 ธุรกิจ ระบบรักษาความปลอดภัย การคงอยู่ (persistence) การดำเนินการ (transaction)",CSX 3006,,
CSX 4408,Enterprise Database Syst,ระบบฐานข้อมูลองค์กร,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Introduction to the enterprise-level database systems, database architecture, DBMS installation and
configuration issues, performance optimizing, monitoring and tuning, user management and database security, back-up, and recovery.","ความรู้เบือ􀃊 งต้นเกีย􀃉 วกับระบบฐานข้อมูลระดับองค์กร สถาปัตยกรรมฐานข้อมูล การติดตัง􀃊 และการกำหนดค่า การ
เพิ􀃉มประสิทธิภาพ การกำกับดูแลและปรับแต่ง การบริหารจัดการผู้ใช้และระบบรักษาความปลอดภัยของ
ฐานข้อมูล การสำรองข้อมูลและการคืนสภาพ",CSX 3006,,
CSX 4409,Blockchain Technology,เทคโนโลยีบล็อคเชน,Major Elective Courses,วิชาเอกเลือก,Group 1(D) Enterprise Systems,วิชาเอกเลือกกลุ่ม 1(D) Enterprise Systems,3 (3-0-6),"Introduction to blockchain concept, how blockchain can help disrupting businesses, blockchain
technological components, public and private blockchain, Bitcoin, coin mining, consensus protocols,
blockchain security, cryptocurrencies, Initial Coin Offerings (ICOs), blockchain infrastructure and
implementation, practical work on Ethereum and Hyperledger.","หลักการพื􀃊นฐานของบล็อคเชน วิธีการที􀃉องค์กรสามารถนำบล็อคเชนไปสร้างการเปลี􀃉ยนแปลงทางธุรกิจ
องค์ประกอบทางด้านเทคนิคที􀃉เกี􀃉ยวข้องกับบล็อคเชน บล็อคเชนแบบสาธารณะ บล็อคเชนแบบเป็นส่วนตัว
บล็อคเชนลูกผสม บิทคอยน์ การขุดบิทคอยน์ โปรโตคอลการออกเสียงแบบเอกฉันท์ ความมัน􀃉 คงปลอดภัยของ
บล็อคเชน สกุลเงินดิจิตอลที􀃉เข้ารหัส การระดมทุนผ่านเหรียญดิจิตอล โครงสร้างพืน􀃊 ฐานและการสร้างบล็อคเชน
การทดลองปฏิบัติจริงด้วยซอฟท์แวร์อีเธอเรียม หรือไฮเปอร์เลดเจอร์",,,
CSX 4501,Theory of Computation,ทฤษฎีการคำนวณ,Major Elective Courses,วิชาเอกเลือก,Group 2,วิชาเอกเลือกกลุ่ม 2,3 (3-0-6),"Methods of computation, sequential computation, parallel computation, logic circuits, finite-state machine,
deterministic and non-deterministic machine, regular and non-regular set, push-down automata, Turing
machine, computability and non-computability, halting problem, examples of class P and class NP
problems, theories and techniques for various computational problems which are the basis of computer
science.","วิธีต่างๆ ของการคำนวณ การคำนวณแบบลำดับ การคำนวณแบบขนาน วงจรตรรกแบบจัดหมู่ ไฟไนท์สเตท
แมชีน ดีเทอร์นิมิสติคและนอนดีเทอร์มินิสแมชีน เซตแบบเรกูลาร์และแบบนอนเรกูลาร์ พุชท์ดาวน์ออโตมาตา ทัว
ริงแมชีน การคำนวณได้และการคำนวณไม่ได้ ปัญหาการหยุด (halting problem) และตัวอย่างปัญหาแบบพีและ
เอ็นพี (Class P and Class NP Problems) ทฤษฎีและการพิสูจน์รูปแบบของการคำนวณปัญหาต่างๆ อันเป็น
พืน􀃊 ฐานของวิทยาการคอมพิวเตอร์",CSX 2008,,
CSX 4502,Tech Startup,เทคสตาร์ตอัพ,Major Elective Courses,วิชาเอกเลือก,Group 2,วิชาเอกเลือกกลุ่ม 2,3 (3-0-6),"Overview of tech startup, innovations, design thinking, ideation, persona, user interface design, UX/UI,
lean startup, lean canvas, value propositions, UVP, agile manifesto, business modeling,
entrepreneurship, marketing, pitching, growth hacking, angel investors, venture capital.","ภาพรวมของเทคสตาร์ตอัพ นวัตกรรม แนวคิดเชิงออกแบบ การสร้างสรรค์ความคิดใหม่ๆ การสร้างตัวแทนของ
กลุ่มผู้ใช้ การออกแบบหน้าจอสำหรับผู้ใช้งาน UI/UX ลีนสตาร์ตอัพ ลีนแคนวาส คุณค่าที􀃉นำเสนอแก่ลูกค้า
ข้อเสนอพิเศษที􀃉ไม่ซํ􀃊ากัน แถลงการณ์ของแอจไจล์ แบบจำลองธุรกิจ ความเป็นผู้ประกอบการ การตลาด การ
นำเสนอ การทำการตลาดแบบใช้ต้นทุนตํ􀃉า นักลงทุนนางฟ้า การร่วมลงทุน",,,
